label,file,fps,frame_count,duration_sec,width,height,file_size_mb
A,A_1.mp4,30.0,152,5.066666666666666,512,512,1.005
A,A_100.mp4,30.0,151,5.033333333333333,512,512,0.783
A,A_12.mp4,30.0,151,5.033333333333333,512,512,0.771
A,A_16.mp4,30.0,151,5.033333333333333,512,512,0.779
A,A_2.mp4,30.0,152,5.066666666666666,512,512,0.769
A,A_24.mp4,30.0,151,5.033333333333333,512,512,0.786
A,A_26.mp4,30.0,151,5.033333333333333,512,512,0.774
A,A_3.mp4,30.0,152,5.066666666666666,512,512,0.977
A,A_36.mp4,30.0,151,5.033333333333333,512,512,0.779
A,A_4.mp4,30.0,151,5.033333333333333,512,512,0.793
A,A_43.mp4,30.0,151,5.033333333333333,512,512,1.613
A,A_44.mp4,30.0,151,5.033333333333333,512,512,0.768
A,A_5.mp4,30.0,152,5.066666666666666,512,512,2.004
A,A_52.mp4,30.0,152,5.066666666666666,512,512,1.674
A,A_55.mp4,30.0,152,5.066666666666666,512,512,1.062
A,A_56.mp4,30.0,151,5.033333333333333,512,512,0.751
A,A_6.mp4,30.0,154,5.133333333333334,512,512,0.989
A,A_61.mp4,30.0,151,5.033333333333333,512,512,0.748
A,A_62.mp4,30.0,152,5.066666666666666,512,512,0.979
A,A_63.mp4,30.0,152,5.066666666666666,512,512,1.053
A,A_7.mp4,30.0,152,5.066666666666666,512,512,2.335
A,A_74.mp4,30.0,151,5.033333333333333,512,512,0.779
A,A_75.mp4,30.0,151,5.033333333333333,512,512,0.775
A,A_77.mp4,30.0,151,5.033333333333333,512,512,0.746
A,A_78.mp4,30.0,152,5.066666666666666,512,512,1.047
A,A_82.mp4,30.0,152,5.066666666666666,512,512,0.856
A,A_85.mp4,30.0,152,5.066666666666666,512,512,0.766
A,A_87.mp4,30.0,153,5.1,512,512,1.907
A,A_94.mp4,14.985014985014985,96,6.4064000000000005,1280,720,3.334
B,B_12.mp4,30.0,151,5.033333333333333,512,512,0.421
B,B_13.mp4,30.0,151,5.033333333333333,512,512,0.457
B,B_14.mp4,30.0,151,5.033333333333333,512,512,0.689
B,B_16.mp4,30.0,151,5.033333333333333,512,512,0.425
B,B_17.mp4,30.0,152,5.066666666666666,512,512,1.134
B,B_2.mp4,30.0,152,5.066666666666666,512,512,0.676
B,B_20.mp4,30.0,151,5.033333333333333,512,512,0.487
B,B_21.mp4,30.0,153,5.1,512,512,1.049
B,B_22.mp4,30.0,151,5.033333333333333,512,512,0.68
B,B_24.mp4,30.0,152,5.066666666666666,512,512,0.807
B,B_25.mp4,30.0,152,5.066666666666666,512,512,0.51
B,B_27.mp4,14.916666666666666,88,5.899441340782123,1280,720,3.024
B,B_3.mp4,30.0,151,5.033333333333333,512,512,0.708
B,B_30.mp4,30.0,151,5.033333333333333,512,512,0.437
B,B_32.mp4,30.0,151,5.033333333333333,512,512,0.692
B,B_33.mp4,30.0,153,5.1,512,512,1.475
B,B_35.mp4,30.0,151,5.033333333333333,512,512,0.487
B,B_37.mp4,30.0,152,5.066666666666666,512,512,0.88
B,B_39.mp4,30.0,153,5.1,512,512,1.682
B,B_4.mp4,30.0,153,5.1,512,512,1.236
B,B_40.mp4,30.0,151,5.033333333333333,512,512,0.908
B,B_42.mp4,30.0,151,5.033333333333333,512,512,1.063
B,B_44.mp4,30.0,152,5.066666666666666,512,512,0.875
B,B_45.mp4,30.0,151,5.033333333333333,512,512,0.695
B,B_46.mp4,30.0,153,5.1,512,512,1.814
B,B_47.mp4,30.0,152,5.066666666666666,512,512,0.956
B,B_48.mp4,30.0,152,5.066666666666666,512,512,1.161
B,B_49.mp4,30.0,151,5.033333333333333,512,512,0.667
B,B_5.mp4,30.0,152,5.066666666666666,512,512,0.773
B,B_50.mp4,30.0,151,5.033333333333333,512,512,0.643
B,B_51.mp4,30.0,151,5.033333333333333,512,512,0.442
B,B_52.mp4,30.0,151,5.033333333333333,512,512,0.729
B,B_53.mp4,14.916666666666666,90,6.033519553072626,1280,720,3.109
B,B_56.mp4,30.0,151,5.033333333333333,512,512,1.321
B,B_57.mp4,14.916666666666666,82,5.4972067039106145,1280,720,2.853
B,B_6.mp4,30.0,152,5.066666666666666,512,512,0.517
B,B_62.mp4,30.0,151,5.033333333333333,512,512,0.697
B,B_63.mp4,30.0,151,5.033333333333333,512,512,0.462
B,B_64.mp4,30.0,151,5.033333333333333,512,512,0.462
B,B_66.mp4,14.985014985014985,79,5.271933333333333,1280,720,2.732
B,B_67.mp4,30.0,151,5.033333333333333,512,512,1.105
B,B_69.mp4,30.0,151,5.033333333333333,512,512,1.063
B,B_7.mp4,30.0,152,5.066666666666666,512,512,0.937
B,B_70.mp4,30.0,152,5.066666666666666,512,512,0.517
B,B_73.mp4,30.0,151,5.033333333333333,512,512,1.2
B,B_74.mp4,30.0,152,5.066666666666666,512,512,1.161
B,B_75.mp4,30.0,152,5.066666666666666,512,512,0.689
B,B_76.mp4,30.0,151,5.033333333333333,512,512,0.68
B,B_78.mp4,30.0,153,5.1,512,512,1.582
